id,meter_id,units,voltage,temperature,power_factor,load_kw,frequency_hz,date,hour,day_of_week,is_weekend,voltage_status,voltage_flag,pf_issue,high_temp,load_intensity
1,MTR0000650,13.015,220.65,27.52,0.786,8.341,49.677,2024-11-20 23:09:19.187289,23,2,0,normal,1,1,0,1.5603625939784274
2,MTR0000072,37.079,243.61,29.65,0.854,9.457,49.777,2025-03-26 19:39:56.110505,19,2,0,normal,1,0,0,3.9207952619273954
3,MTR0000134,8.737,217.67,31.05,0.827,9.756,50.382,2025-04-12 03:20:01.117709,3,5,1,normal,1,1,0,0.8955505375660747
4,MTR0000397,23.573,241.04,38.97,0.992,2.103,49.883,2025-05-28 05:08:16.843656,5,2,0,normal,1,0,0,11.209171615921939
5,MTR0000025,41.827,241.73,21.51,0.804,3.296,49.942,2025-09-07 20:08:19.517820,20,6,1,normal,1,1,0,12.690192080727911
6,MTR0000206,24.611,222.23,20.05,0.972,9.359,50.237,2024-11-27 08:43:42.872743,8,2,0,normal,1,0,0,2.629658478834834
7,MTR0000136,21.485,241.62,39.63,0.886,8.326,50.327,2025-02-18 18:26:40.575021,18,1,0,normal,1,0,0,2.5804677150279667
8,MTR0000847,18.224,226.94,36.43,0.88,6.584,49.566,2025-01-08 00:03:22.439041,0,2,0,normal,1,0,0,2.767918031716234
9,MTR0000875,31.77,228.85,36.88,0.936,8.818,49.918,2024-11-26 09:58:00.192958,9,1,0,normal,1,0,0,3.602853705087656
10,MTR0000129,18.006,233.62,21.15,0.875,1.367,50.199,2025-03-31 21:10:32.760797,21,0,0,normal,1,0,0,13.171812934799306
11,MTR0000039,25.798,224.88,25.62,0.891,6.417,49.711,2025-10-13 09:27:20.932230,9,0,0,normal,1,0,0,4.020252422857374
12,MTR0000805,39.25,225.7,39.44,0.807,7.265,49.508,2025-01-19 18:59:59.296709,18,6,1,normal,1,1,0,5.402607842246605
13,MTR0000268,35.991,246.69,35.57,0.907,6.722,49.749,2025-01-21 09:06:46.054615,9,1,0,normal,1,0,0,5.354202091338752
14,MTR0000007,42.843,234.3,38.8,0.928,0.018,49.92,2025-01-09 22:25:07.792294,22,3,0,normal,1,0,0,2378.845086063299
15,MTR0000958,22.53,236.65,22.31,0.924,2.003,50.022,2025-03-23 00:13:47.817445,0,6,1,normal,1,0,0,11.248071652163494
16,MTR0000018,38.391,223.44,20.79,0.942,5.824,50.392,2025-02-13 06:22:58.455639,6,3,0,normal,1,0,0,6.591849945312594
17,MTR0000448,26.962,241.97,27.76,0.759,9.597,49.633,2025-05-21 23:27:41.137173,23,2,0,normal,1,1,0,2.809416682904363
