PassengerId,age,sex,who
0,22.0,male,man
1,38.0,female,woman
2,26.0,female,woman
3,35.0,female,woman
4,35.0,male,man
5,,male,man
6,54.0,male,man
7,2.0,male,child
8,27.0,female,woman
9,14.0,female,child
10,4.0,female,child
11,58.0,female,woman
12,20.0,male,man
13,39.0,male,man
14,14.0,female,child
15,55.0,female,woman
16,2.0,male,child
17,,male,man
18,31.0,female,woman
19,,female,woman
20,35.0,male,man
21,34.0,male,man
22,15.0,female,child
23,28.0,male,man
24,8.0,female,child
25,38.0,female,woman
26,,male,man
27,19.0,male,man
28,,female,woman
29,,male,man
30,40.0,male,man
31,,female,woman
32,,female,woman
33,66.0,male,man
34,28.0,male,man
35,42.0,male,man
36,,male,man
37,21.0,male,man
38,18.0,female,woman
39,14.0,female,child
40,40.0,female,woman
41,27.0,female,woman
42,,male,man
43,3.0,female,child
44,19.0,female,woman
45,,male,man
46,,male,man
47,,female,woman
48,,male,man
49,18.0,female,woman
50,7.0,male,child
51,21.0,male,man
52,49.0,female,woman
53,29.0,female,woman
54,65.0,male,man
55,,male,man
56,21.0,female,woman
57,28.5,male,man
58,5.0,female,child
59,11.0,male,child
60,22.0,male,man
61,38.0,female,woman
62,45.0,male,man
63,4.0,male,child
64,,male,man
65,,male,man
66,29.0,female,woman
67,19.0,male,man
68,17.0,female,woman
69,26.0,male,man
70,32.0,male,man
71,16.0,female,woman
72,21.0,male,man
73,26.0,male,man
74,32.0,male,man
75,25.0,male,man
76,,male,man
77,,male,man
78,0.83,male,child
79,30.0,female,woman
80,22.0,male,man
81,29.0,male,man
82,,female,woman
83,28.0,male,man
84,17.0,female,woman
85,33.0,female,woman
86,16.0,male,man
87,,male,man
88,23.0,female,woman
89,24.0,male,man
90,29.0,male,man
91,20.0,male,man
92,46.0,male,man
93,26.0,male,man
94,59.0,male,man
95,,male,man
96,71.0,male,man
97,23.0,male,man
98,34.0,female,woman
99,34.0,male,man
100,28.0,female,woman
101,,male,man
102,21.0,male,man
103,33.0,male,man
104,37.0,male,man
105,28.0,male,man
106,21.0,female,woman
107,,male,man
108,38.0,male,man
109,,female,woman
110,47.0,male,man
111,14.5,female,child
112,22.0,male,man
113,20.0,female,woman
114,17.0,female,woman
115,21.0,male,man
116,70.5,male,man
117,29.0,male,man
118,24.0,male,man
119,2.0,female,child
120,21.0,male,man
121,,male,man
122,32.5,male,man
123,32.5,female,woman
124,54.0,male,man
125,12.0,male,child
126,,male,man
127,24.0,male,man
128,,female,woman
129,45.0,male,man
130,33.0,male,man
131,20.0,male,man
132,47.0,female,woman
133,29.0,female,woman
134,25.0,male,man
135,23.0,male,man
136,19.0,female,woman
137,37.0,male,man
138,16.0,male,man
139,24.0,male,man
140,,female,woman
141,22.0,female,woman
142,24.0,female,woman
143,19.0,male,man
144,18.0,male,man
145,19.0,male,man
146,27.0,male,man
147,9.0,female,child
148,36.5,male,man
149,42.0,male,man
150,51.0,male,man
151,22.0,female,woman
152,55.5,male,man
153,40.5,male,man
154,,male,man
155,51.0,male,man
156,16.0,female,woman
157,30.0,male,man
158,,male,man
159,,male,man
160,44.0,male,man
161,40.0,female,woman
162,26.0,male,man
163,17.0,male,man
164,1.0,male,child
165,9.0,male,child
166,,female,woman
167,45.0,female,woman
168,,male,man
169,28.0,male,man
170,61.0,male,man
171,4.0,male,child
172,1.0,female,child
173,21.0,male,man
174,56.0,male,man
175,18.0,male,man
176,,male,man
177,50.0,female,woman
178,30.0,male,man
179,36.0,male,man
180,,female,woman
181,,male,man
182,9.0,male,child
183,1.0,male,child
184,4.0,female,child
185,,male,man
186,,female,woman
187,45.0,male,man
188,40.0,male,man
189,36.0,male,man
190,32.0,female,woman
191,19.0,male,man
192,19.0,female,woman
193,3.0,male,child
194,44.0,female,woman
195,58.0,female,woman
196,,male,man
197,42.0,male,man
