PassengerId,pclass,fare,embarked
0,3,7.25,S
1,1,71.2833,C
2,3,7.925,S
3,1,53.1,S
4,3,8.05,S
5,3,8.4583,Q
6,1,51.8625,S
7,3,21.075,S
8,3,11.1333,S
9,2,30.0708,C
10,3,16.7,S
11,1,26.55,S
12,3,8.05,S
13,3,31.275,S
14,3,7.8542,S
15,2,16.0,S
16,3,29.125,Q
17,2,13.0,S
18,3,18.0,S
19,3,7.225,C
20,2,26.0,S
21,2,13.0,S
22,3,8.0292,Q
23,1,35.5,S
24,3,21.075,S
25,3,31.3875,S
26,3,7.225,C
27,1,263.0,S
28,3,7.8792,Q
29,3,7.8958,S
30,1,27.7208,C
31,1,146.5208,C
32,3,7.75,Q
33,2,10.5,S
34,1,82.1708,C
35,1,52.0,S
36,3,7.2292,C
37,3,8.05,S
38,3,18.0,S
39,3,11.2417,C
40,3,9.475,S
41,2,21.0,S
42,3,7.8958,C
43,2,41.5792,C
44,3,7.8792,Q
45,3,8.05,S
46,3,15.5,Q
47,3,7.75,Q
48,3,21.6792,C
49,3,17.8,S
50,3,39.6875,S
51,3,7.8,S
52,1,76.7292,C
53,2,26.0,S
54,1,61.9792,C
55,1,35.5,S
56,2,10.5,S
57,3,7.2292,C
58,2,27.75,S
59,3,46.9,S
60,3,7.2292,C
61,1,80.0,
62,1,83.475,S
63,3,27.9,S
64,1,27.7208,C
65,3,15.2458,C
66,2,10.5,S
67,3,8.1583,S
68,3,7.925,S
69,3,8.6625,S
70,2,10.5,S
71,3,46.9,S
72,2,73.5,S
73,3,14.4542,C
74,3,56.4958,S
75,3,7.65,S
76,3,7.8958,S
77,3,8.05,S
78,2,29.0,S
79,3,12.475,S
80,3,9.0,S
81,3,9.5,S
82,3,7.7875,Q
83,1,47.1,S
84,2,10.5,S
85,3,15.85,S
86,3,34.375,S
87,3,8.05,S
88,1,263.0,S
89,3,8.05,S
90,3,8.05,S
91,3,7.8542,S
92,1,61.175,S
93,3,20.575,S
94,3,7.25,S
95,3,8.05,S
96,1,34.6542,C
97,1,63.3583,C
98,2,23.0,S
99,2,26.0,S
100,3,7.8958,S
101,3,7.8958,S
102,1,77.2875,S
103,3,8.6542,S
104,3,7.925,S
105,3,7.8958,S
106,3,7.65,S
107,3,7.775,S
108,3,7.8958,S
109,3,24.15,Q
110,1,52.0,S
111,3,14.4542,C
112,3,8.05,S
113,3,9.825,S
114,3,14.4583,C
115,3,7.925,S
116,3,7.75,Q
117,2,21.0,S
118,1,247.5208,C
119,3,31.275,S
120,2,73.5,S
121,3,8.05,S
122,2,30.0708,C
123,2,13.0,S
124,1,77.2875,S
125,3,11.2417,C
126,3,7.75,Q
127,3,7.1417,S
128,3,22.3583,C
129,3,6.975,S
130,3,7.8958,C
131,3,7.05,S
132,3,14.5,S
133,2,26.0,S
134,2,13.0,S
135,2,15.0458,C
136,1,26.2833,S
137,1,53.1,S
